Output number, Simulation time (s), Write time (s), Average write time (s)
1, 1.00000000000000044, 0.05606749, 0.05606749
2, 2.00000000000000089, 0.069074372, 0.062570931
3, 3.00000000000000000, 0.067695713, 0.0642791916667
4, 4.00000000000000178, 0.099344233, 0.073045452
5, 5.00000000000002220, 0.052819859, 0.0690003334
6, 6.00000000000000799, 0.051908156, 0.0661516371667
7, 7.00000000000000533, 0.050340562, 0.0638929121429
8, 8.00000000000000355, 0.04864624, 0.061987078125
9, 9.00000000000000000, 0.051152828, 0.0607832725556
10, 10.00000000000000000, 0.054111526, 0.0601160979
11, 11.00000000000001954, 0.049792462, 0.0591775855455
12, 12.00000000000003375, 0.050106472, 0.0584216594167
13, 13.00000000000001066, 0.050526422, 0.0578143334615
14, 14.00000000000012434, 0.052363812, 0.0574250105
15, 15.00000000000001243, 0.110233067, 0.0609455476
16, 16.00000000000011369, 0.049050047, 0.0602020788125
17, 17.00000000000000000, 0.052723378, 0.0597621552353
18, 18.00000000000024869, 0.069341304, 0.0602943301667
19, 19.00000000000005684, 0.05311326, 0.0599163791053
20, 20.00000000000001421, 0.052476935, 0.0595444069
21, 21.00000000000007105, 0.05340043, 0.0592518365714
22, 22.00000000000012790, 0.071996922, 0.0598311586364
23, 23.00000000000018474, 0.063056758, 0.059971402087
24, 24.00000000000024158, 0.053655559, 0.0597082419583
25, 25.00000000000000000, 0.105900068, 0.061555915
26, 26.00000000000007816, 0.062419551, 0.0615891317692
27, 27.00000000000025580, 0.065713309, 0.0617418790741
28, 28.00000000000000355, 0.064967989, 0.0618570972857
29, 29.00000000000003908, 0.06274866, 0.0618878408276
30, 30.00000000000009948, 0.052647775, 0.0615798386333
31, 31.00000000000016342, 0.07075533, 0.0618758222258
32, 32.00000000000008527, 0.062356833, 0.0618908538125
33, 33.00000000000049738, 0.06067803, 0.0618541015758
34, 34.00000000000009237, 0.050839559, 0.0615301444412
35, 35.00000000000005684, 0.050212551, 0.0612067846286
36, 36.00000000000002132, 0.060050822, 0.0611746745556
37, 37.00000000000010658, 0.078891002, 0.0616534942162
38, 38.00000000000005684, 0.055419573, 0.0614894436579
39, 39.00000000000014211, 0.052185147, 0.0612508719487
40, 40.00000000000002842, 0.064339458, 0.0613280866
41, 41.00000000000000000, 0.072904597, 0.0616104405122
42, 42.00000000000024158, 0.050445219, 0.0613446019048
43, 43.00000000000017053, 0.055965698, 0.0612195111163
44, 44.00000000000009948, 0.051812167, 0.0610057078409
45, 45.00000000000013500, 0.05093033, 0.0607818105556
46, 46.00000000000009948, 0.058549242, 0.0607332764565
47, 47.00000000000003553, 0.051552258, 0.0605379356383
48, 48.00000000000000000, 0.050061348, 0.0603196733958
49, 49.00000000000016342, 0.052794121, 0.0601660906939
50, 50.00000000000016342, 0.049689428, 0.05995655744
