Iter, Clock_time, Time, Max_vel, Max_density, Mass, PE_tot, BPE_tot, BPE_from_int, Max_diss, Diss_tot, Max_u, KE_x, Max_w, KE_z, Enst_y_tot, Max_vort_y
0, 1.05879000000003165e-04, 0.00000000000000000e+00, 5.07757572410558449e-03, 4.99972405383850450e-03, 5.00250001127787357e+02, 1.22686312776590194e+03, 1.22631333734066743e+03, -0.00000000000000000e+00, 2.11846156554931150e-02, 1.28872028099683423e-03, 4.09286243584324264e-03, 2.52505074404995710e-04, 4.52219004178218854e-03, 2.49346559412446007e-04, 1.07191700833679515e-01, 2.99481103984796171e+00
1, 1.73135144999999990e-01, 3.12500000000000017e-03, 2.50312939048335029e-03, 4.99972371283712372e-03, 5.00250001328905796e+02, 1.22686312816134614e+03, 1.22631333743244340e+03, -4.36883497060873582e-11, 2.04932861959475831e-03, 7.83615404506651141e-05, 2.41860919384907390e-03, 5.29255707959219881e-05, 1.83204871086561569e-03, 5.30057392742810317e-05, 1.95903851126662913e-02, 1.25558211496516092e+00
2, 1.79843786000000005e-01, 6.25000000000000035e-03, 2.39761351880923845e-03, 4.99972536152738962e-03, 5.00250001261866714e+02, 1.22686312738587208e+03, 1.22631333742574179e+03, -2.84926420568549572e-11, 1.79554079624856468e-03, 6.82290589826625585e-05, 2.33703590570611157e-03, 4.96967162362177618e-05, 1.78729649618466547e-03, 4.99900808570699011e-05, 1.70572647456656290e-02, 1.12698657010327308e+00
3, 1.85421182999999989e-01, 1.25000000000000007e-02, 2.30878408939824134e-03, 4.99973232671349806e-03, 5.00250001560963369e+02, 1.22686312507879620e+03, 1.22631333756458116e+03, 1.09320488618554186e-10, 1.65045014138337390e-03, 6.26572961966088049e-05, 2.24475691627987152e-03, 4.85662281456283545e-05, 1.77430517412782447e-03, 4.98088509568243008e-05, 1.56643240491521965e-02, 1.09897468480928540e+00
4, 1.90911235999999984e-01, 2.50000000000000014e-02, 2.41465701002050847e-03, 4.99975311618970630e-03, 5.00250002334269823e+02, 1.22686311491046308e+03, 1.22631333786451887e+03, 8.39781294509391164e-10, 1.45162088765437474e-03, 6.00690222042915166e-05, 2.19700805631179493e-03, 5.10263245265796500e-05, 2.01474307135721207e-03, 5.65608598431663269e-05, 1.50172555510728785e-02, 1.04562164984457207e+00
5, 1.96290770999999975e-01, 5.00000000000000028e-02, 3.14470742002410149e-03, 4.99978607559851095e-03, 5.00250003368681519e+02, 1.22686307063073400e+03, 1.22631333815278776e+03, 4.15910426771861192e-09, 1.40262600490723838e-03, 6.04909517191194593e-05, 3.11303292916423726e-03, 6.49917055713729764e-05, 2.73019670786429219e-03, 8.80892836122507800e-05, 1.51227379297798649e-02, 1.09106736433445350e+00
6, 2.01578303999999986e-01, 1.00000000000000006e-01, 5.10195380415122673e-03, 4.99984590389344636e-03, 5.00250003990038522e+02, 1.22686288779748566e+03, 1.22631333782897218e+03, 1.81623710165174799e-08, 1.61401817633566660e-03, 6.52483315206927434e-05, 5.07441994538876048e-03, 1.22558866139408474e-04, 4.29104749814238767e-03, 2.16380030785600806e-04, 1.63120828801731899e-02, 1.14206459539885419e+00
7, 2.06506982000000006e-01, 2.00000000000000011e-01, 9.19191002028797027e-03, 5.00011620835851250e-03, 5.00250003199232992e+02, 1.22686215178582461e+03, 1.22631333526294998e+03, 7.51188089762878366e-08, 1.75854041957878475e-03, 7.10719785633043331e-05, 9.19119407978034354e-03, 3.48742420329668670e-04, 7.29891012733003500e-03, 7.26303438827392042e-04, 1.77679946408260958e-02, 1.10889105607471627e+00
8, 2.11135336000000007e-01, 3.00000000000000044e-01, 1.35417475358172324e-02, 5.00035765772664613e-03, 5.00250002253828825e+02, 1.22686092637873480e+03, 1.22631333217294741e+03, 1.70297503550478114e-07, 1.76238147450088166e-03, 6.49692253957678671e-05, 1.35391838875928532e-02, 7.20847878748413816e-04, 1.01945494887449185e-02, 1.57046265383980707e-03, 1.62423063489419636e-02, 1.05341852704163430e+00
9, 2.15784568999999982e-01, 3.70000000000000051e-01, 1.66956295619172766e-02, 5.00055332174504687e-03, 5.00250001973808537e+02, 1.22685977818223637e+03, 1.22631333068568642e+03, 2.59716656791029132e-07, 1.85408109926941110e-03, 5.82540888998290960e-05, 1.66945876300308577e-02, 1.06969701426289088e-03, 1.23567361130841151e-02, 2.36184633231596112e-03, 1.45635222249572670e-02, 1.08283367801912722e+00
