Iter, Clock_time, Time, Max_vel, Max_density, Mass, PE_tot, BPE_tot, BPE_from_int, Max_diss, Diss_tot, Max_u, KE_x, Max_w, KE_z, Enst_y_tot, Max_vort_y
11, 2.55095982000000054e-01, 4.75000000000000033e-01, 2.13848569580356238e-02, 5.00080351045466102e-03, 5.00250001911298057e+02, 1.22685760709541864e+03, 1.22631332879652746e+03, 4.29173395427710562e-07, 2.49457795050800173e-03, 5.22118628164070582e-05, 2.13844831143647149e-02, 1.73205603465949581e-03, 1.55212383537163112e-02, 3.86133976439782508e-03, 1.30529657041017662e-02, 1.11989903559296811e+00
12, 2.59616574000000044e-01, 5.18750000000000044e-01, 2.32671683294323889e-02, 5.00104668790766690e-03, 5.00250001916507244e+02, 1.22685654341113604e+03, 1.22631332774448288e+03, 5.12249980530989369e-07, 2.70894112503032580e-03, 5.12286520348052563e-05, 2.32669916960149305e-02, 2.05736768616073809e-03, 1.68295338618805988e-02, 4.59675776973172533e-03, 1.28071630087013052e-02, 1.14496900461381035e+00
13, 2.64234568999999975e-01, 5.58854166666666652e-01, 2.50657566400507882e-02, 5.00106737315919852e-03, 5.00250001919700196e+02, 1.22685548616862343e+03, 1.22631332670301231e+03, 5.94806573627172337e-07, 2.87169644691651765e-03, 5.08972011653060629e-05, 2.50653920629785865e-02, 2.38100174804726540e-03, 1.79901542447134244e-02, 5.32793020062734528e-03, 1.27243002913265159e-02, 1.16871445803373120e+00
14, 2.68868223000000017e-01, 5.95616319444444375e-01, 2.67700215606550343e-02, 5.00098007667007256e-03, 5.00250001920757938e+02, 1.22685444797677110e+03, 1.22631332573444502e+03, 6.75841164464390878e-07, 2.98362869592468842e-03, 5.09610294753193568e-05, 2.67699293534612234e-02, 2.69900877478092792e-03, 1.90610884435562615e-02, 6.04602607059583942e-03, 1.27402573688298361e-02, 1.17457874781338734e+00
15, 2.73423921000000014e-01, 6.29314959490740677e-01, 2.83164393076302361e-02, 5.00085187740442923e-03, 5.00250001920915452e+02, 1.22685343829414410e+03, 1.22631332477633259e+03, 7.54607785724002911e-07, 3.13568221828045305e-03, 5.12677435328062970e-05, 2.83164377653056624e-02, 3.00843776772362088e-03, 2.01045838405502532e-02, 6.74443926143046199e-03, 1.28169358832015776e-02, 1.20666073934324536e+00
16, 2.77789672000000043e-01, 6.63013599537036979e-01, 2.98452685067337395e-02, 5.00091574966007001e-03, 5.00250001920848717e+02, 1.22685237314364986e+03, 1.22631332379695414e+03, 8.37648390058620208e-07, 3.60782166343241208e-03, 5.17835100197510097e-05, 2.98452259587960698e-02, 3.33501140585568037e-03, 2.11343275944026396e-02, 7.48122473639366726e-03, 1.29458775049377493e-02, 1.23371136813320437e+00
17, 2.82086264000000031e-01, 6.93648726851851749e-01, 3.12179581538217718e-02, 5.00105796018225808e-03, 5.00250001920787611e+02, 1.22685135670687396e+03, 1.22631332290537421e+03, 9.16833279531891343e-07, 4.00819591692604116e-03, 5.24097051297063663e-05, 3.12177892601360682e-02, 3.64677582146172036e-03, 2.20705417995597057e-02, 8.18429077987103612e-03, 1.31024262824265773e-02, 1.25863391401776048e+00
18, 2.86452496000000001e-01, 7.21498842592592449e-01, 3.24500929954558218e-02, 5.00117814297620748e-03, 5.00250001920763452e+02, 1.22685039291940211e+03, 1.22631332205433682e+03, 9.91858016295174616e-07, 4.32719250341823125e-03, 5.30947080765188222e-05, 3.24497529724759454e-02, 3.94249893885809718e-03, 2.29356822588023708e-02, 8.85090015662446175e-03, 1.32736770191297076e-02, 1.28106571091571797e+00
19, 2.91075139000000038e-01, 7.46817129629629539e-01, 3.36413374070160948e-02, 5.00128048678185125e-03, 5.00250001920758109e+02, 1.22684948390522231e+03, 1.22631332120431830e+03, 1.06256164659891772e-06, 4.56348386474971640e-03, 5.38059688933471015e-05, 3.36411460587532005e-02, 4.22150946748749752e-03, 2.37179413714565523e-02, 9.47957841202209765e-03, 1.34514922233367768e-02, 1.32569189998230930e+00
20, 2.95735764000000012e-01, 7.72135416666666630e-01, 3.48222222558495359e-02, 5.00135866236962271e-03, 5.00250001920759019e+02, 1.22684854362179840e+03, 1.22631332031059424e+03, 1.13563403239167013e-06, 4.73475302858887646e-03, 5.46010852744698122e-05, 3.48221795878286416e-02, 4.51021500359284882e-03, 2.44948875526956981e-02, 1.01298271731166244e-02, 1.36502713186174296e-02, 1.36424654773178489e+00
21, 3.00120210999999970e-01, 7.97453703703703720e-01, 3.59864762098075081e-02, 5.00141242362657154e-03, 5.00250001920759928e+02, 1.22684757208021711e+03, 1.22631331940738960e+03, 1.21106266678373802e-06, 4.82781547154498628e-03, 5.54786507853298407e-05, 3.59864761226239907e-02, 4.80862377236008706e-03, 2.52897509360034377e-02, 1.08016253132318784e-02, 1.38696626963324705e-02, 1.39137722799271324e+00
22, 3.04602812000000056e-01, 8.22771990740740811e-01, 3.71331095415805210e-02, 5.00145237588572444e-03, 5.00250001920760724e+02, 1.22684656929255766e+03, 1.22631331848950390e+03, 1.28883352746737946e-06, 4.83290892008754556e-03, 5.64355812398734019e-05, 3.71330657628140479e-02, 5.11674412391974025e-03, 2.60702704448391928e-02, 1.14949490750451393e-02, 1.41088953099683598e-02, 1.40615555904036738e+00
23, 3.08969334000000040e-01, 8.48090277777777901e-01, 3.82611997362157022e-02, 5.00166235054543863e-03, 5.00250001920760951e+02, 1.22684553527197932e+03, 1.22631331754849407e+03, 1.36893114752018384e-06, 5.16262417241053744e-03, 5.74683076356115915e-05, 3.82610437759819677e-02, 5.43458507223382094e-03, 2.68384614364492805e-02, 1.22097723565426242e-02, 1.43670769089029003e-02, 1.40800702268190903e+00
24, 3.13297715000000032e-01, 8.73408564814814992e-01, 3.93779999220343208e-02, 5.00176611364606342e-03, 5.00250001920760951e+02, 1.22684447003278206e+03, 1.22631331660816659e+03, 1.45133870971406624e-06, 5.69731835146312232e-03, 5.85736839920653486e-05, 3.93776390084061081e-02, 5.76215676454567595e-03, 2.76307332754051303e-02, 1.29460670033377592e-02, 1.46434209980163491e-02, 1.41779862376738874e+00
25, 3.17662533999999996e-01, 8.94507137345679215e-01, 4.03788739405393157e-02, 5.00175255708872491e-03, 5.00250001920760951e+02, 1.22684355849716781e+03, 1.22631331568426549e+03, 1.52176202108284635e-06, 6.07389968314135491e-03, 5.95460741752549229e-05, 4.03787329294705705e-02, 6.04257353189662297e-03, 2.82849620646691904e-02, 1.35760244002941354e-02, 1.48865185438137333e-02, 1.44971857221234712e+00
26, 3.21990505000000038e-01, 9.15605709876543439e-01, 4.13622798824694743e-02, 5.00171170987534497e-03, 5.00250001920760951e+02, 1.22684262530249930e+03, 1.22631331454210112e+03, 1.59376434954052439e-06, 6.36695759727477252e-03, 6.05650196229487334e-05, 4.13622526335703788e-02, 6.32976257061234737e-03, 2.89386279104543558e-02, 1.42208519474922856e-02, 1.51412549057371761e-02, 1.49458177775547396e+00
27, 3.26272799000000058e-01, 9.36704282407407662e-01, 4.23278470698304279e-02, 5.00177683963187909e-03, 5.00250001920760951e+02, 1.22684167045903905e+03, 1.22631331330300964e+03, 1.66733403144616105e-06, 6.56090131798182062e-03, 6.16310900159507818e-05, 4.23278461584105509e-02, 6.62373255218750342e-03, 2.96072637954600711e-02, 1.48805306434770697e-02, 1.54077725039876937e-02, 1.53185120793615592e+00
