Output number, Simulation time (s), Write time (s), Average write time (s)
1, 1.00000000000000044, 0.074144963, 0.074144963
2, 2.00000000000000089, 0.167753888, 0.1209494255
3, 3.00000000000000000, 0.049519524, 0.0971394583333
4, 4.00000000000000178, 0.061094998, 0.08812834325
5, 5.00000000000002220, 0.051690121, 0.0808406988
6, 6.00000000000000799, 0.051903421, 0.0760178191667
7, 7.00000000000000533, 0.049009916, 0.0721595472857
8, 8.00000000000000355, 0.050807273, 0.069490513
9, 9.00000000000000000, 0.049474539, 0.0672665158889
10, 10.00000000000000000, 0.054982305, 0.0660380948
11, 11.00000000000001954, 0.069637946, 0.066365354
12, 12.00000000000003375, 0.050884868, 0.0650753135
13, 13.00000000000001066, 0.053359807, 0.0641741206923
14, 14.00000000000012434, 0.052054976, 0.0633084675
15, 15.00000000000001243, 0.05296156, 0.0626186736667
16, 16.00000000000011369, 0.05030559, 0.0618491059375
17, 17.00000000000000000, 0.049918273, 0.0611472922353
18, 18.00000000000024869, 0.054486484, 0.0607772473333
19, 19.00000000000005684, 0.050198709, 0.0602204821579
20, 20.00000000000001421, 0.048567886, 0.05963785235
21, 21.00000000000007105, 0.05096041, 0.0592246408095
22, 22.00000000000012790, 0.055303509, 0.0590464075455
23, 23.00000000000018474, 0.049725801, 0.0586411637826
24, 24.00000000000024158, 0.048430657, 0.058215726
25, 25.00000000000000000, 0.049858249, 0.05788142692
26, 26.00000000000007816, 0.053069321, 0.0576963459231
27, 27.00000000000025580, 0.049536806, 0.0573941407407
28, 28.00000000000000355, 0.05146079, 0.0571822353571
29, 29.00000000000003908, 0.051725458, 0.0569940706207
30, 30.00000000000009948, 0.049712726, 0.0567513591333
31, 31.00000000000016342, 0.050804868, 0.0565595368387
32, 32.00000000000008527, 0.056032539, 0.0565430681562
33, 33.00000000000049738, 0.056769603, 0.0565499328485
34, 34.00000000000009237, 0.053055485, 0.0564471549706
35, 35.00000000000005684, 0.077062734, 0.0570361715143
36, 36.00000000000002132, 0.051773387, 0.0568899830556
37, 37.00000000000010658, 0.083601257, 0.0576119093784
38, 38.00000000000005684, 0.082065361, 0.0582554212632
39, 39.00000000000014211, 0.068751762, 0.0585245582051
40, 40.00000000000002842, 0.061488628, 0.05859865995
41, 41.00000000000000000, 0.068375545, 0.058837120561
42, 42.00000000000024158, 0.057740206, 0.0588110035476
43, 43.00000000000017053, 0.07139148, 0.0591035727674
44, 44.00000000000009948, 0.063627135, 0.059206381
45, 45.00000000000013500, 0.077339464, 0.0596093384
46, 46.00000000000009948, 0.069022389, 0.0598139699348
47, 47.00000000000003553, 0.054599517, 0.0597030241277
48, 48.00000000000000000, 0.056359272, 0.059633362625
49, 49.00000000000016342, 0.075611488, 0.0599594468163
50, 50.00000000000016342, 0.066479944, 0.06008985676
